sub,run ,lag
sub-01,raiders01,1643
sub-01,raiders02,1351
sub-01,raiders03,1320
sub-01,raiders04,1350
sub-01,raiders05,1260
sub-01,raiders06,1350
sub-01,raiders07,1693
sub-01,raiders08,1327
sub-01,raiders09,1306
sub-01,raiders10,1277
sub-01,raiders01_test,1248
sub-01,raiders02_test,1362
sub-01,raiders03_test,1367
sub-04,raiders01,1642
sub-04,raiders02,1353
sub-04,raiders03,1321
sub-04,raiders04,1339
sub-04,raiders05,1302
sub-04,raiders06,1370
sub-04,raiders07,1676
sub-04,raiders08,1345
sub-04,raiders09,1306
sub-04,raiders10,1274
sub-04,raiders01_test,1263
sub-04,raiders02_test,1362
sub-04,raiders03_test,1356
sub-05,raiders01,1650
sub-05,raiders02,1747
sub-05,raiders03,1319
sub-05,raiders04,1376
sub-05,raiders05,1282
sub-05,raiders06,1373
sub-05,raiders07,1680
sub-05,raiders08,1348
sub-05,raiders09,1331
sub-05,raiders10,1302
sub-05,raiders01_test,1267
sub-05,raiders02_test,1359
sub-05,raiders03_test,1354
sub-06,raiders01,1623
sub-06,raiders02,1315
sub-06,raiders03,1325
sub-06,raiders04,1310
sub-06,raiders05,1263
sub-06,raiders06,1319
sub-06,raiders07,1672
sub-06,raiders08,1310
sub-06,raiders09,1356
sub-06,raiders10,1284
sub-06,raiders01_test,1266
sub-06,raiders02_test,1385
sub-06,raiders03_test,1387
sub-07,raiders01,2010
sub-07,raiders02,2068
sub-07,raiders03,1307
sub-07,raiders04,1679
sub-07,raiders05,1675
sub-07,raiders06,1702
sub-07,raiders07,1659
sub-07,raiders08,1360
sub-07,raiders09,1367
sub-07,raiders10,1285
sub-07,raiders01_test,1262
sub-07,raiders02_test,1374
sub-07,raiders03_test,1362
sub-08,raiders01,482
sub-08,raiders02,475
sub-08,raiders03,488
sub-08,raiders04,467
sub-08,raiders05,460
sub-08,raiders06,474
sub-08,raiders07,616
sub-08,raiders08,504
sub-08,raiders09,487
sub-08,raiders10,464
sub-08,raiders01_test,458
sub-08,raiders02_test,485
sub-08,raiders03_test,1135
sub-09,raiders01,1651
sub-09,raiders02,1351
sub-09,raiders03,1305
sub-09,raiders04,1342
sub-09,raiders05,1272
sub-09,raiders06,1349
sub-09,raiders07,1712
sub-09,raiders08,1349
sub-09,raiders09,1324
sub-09,raiders10,1260
sub-09,raiders01_test,1276
sub-09,raiders02_test,1395
sub-09,raiders03_test,1379
sub-11,raiders01,1602
sub-11,raiders02,1344
sub-11,raiders03,1310
sub-11,raiders04,1349
sub-11,raiders05,1295
sub-11,raiders06,1370
sub-11,raiders07,1678
sub-11,raiders08,1317
sub-11,raiders09,1366
sub-11,raiders10,1304
sub-11,raiders01_test,1611
sub-11,raiders02_test,1359
sub-11,raiders03_test,1369
sub-12,raiders01,1646
sub-12,raiders02,1338
sub-12,raiders03,1324
sub-12,raiders04,1356
sub-12,raiders05,1296
sub-12,raiders06,1347
sub-12,raiders07,1688
sub-12,raiders08,1339
sub-12,raiders09,1321
sub-12,raiders10,1283
sub-12,raiders01_test,1253
sub-12,raiders02_test,1399
sub-12,raiders03_test,1363
sub-13,raiders01,1649
sub-13,raiders02,1358
sub-13,raiders03,1316
sub-13,raiders04,1343
sub-13,raiders05,1298
sub-13,raiders06,1355
sub-13,raiders07,1684
sub-13,raiders08,1337
sub-13,raiders09,1300
sub-13,raiders10,1283
sub-13,raiders01_test,1262
sub-13,raiders02_test,1361
sub-13,raiders03_test,1356
sub-14,raiders01,1631
sub-14,raiders02,1351
sub-14,raiders03,1346
sub-14,raiders04,1380
sub-14,raiders05,1295
sub-14,raiders06,1345
sub-14,raiders07,1691
sub-14,raiders08,1339
sub-14,raiders09,1332
sub-14,raiders10,1268
sub-14,raiders01_test,1260
sub-14,raiders02_test,1367
sub-14,raiders03_test,1339
sub-15,raiders01,2068
sub-15,raiders02,2079
sub-15,raiders03,2006
sub-15,raiders04,2060
sub-15,raiders05,2051
sub-15,raiders06,2051
sub-15,raiders07,2149
sub-15,raiders08,2087
sub-15,raiders09,2074
sub-15,raiders10,2057
sub-15,raiders01_test,2059
sub-15,raiders02_test,2074
sub-15,raiders03_test,2070
